
Host: na14

Timers On : Fri Jun  6 15:50:34 2025
Timers Off: Fri Jun  6 15:53:13 2025

Wall Time:      158.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     13.683u      0.767s      2.236w      1 calls
Libint2ERI::Libint2ERI              :      2.533u      0.700s      1.949w     42 calls
HF: Form core H                     :     42.950u      0.033s      0.676w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.001w      1 calls
HF: Guess                           :      3.883u      1.783s      0.213w      1 calls
SAD Guess                           :      3.817u      1.783s      0.212w      1 calls
HF: Form G                          :     22.617u      0.100s      0.833w     18 calls
JK: D                               :      0.067u      0.000s      0.000w     18 calls
JK: USO2AO                          :      4.817u      0.033s      0.070w     18 calls
JK: JK                              :      7.517u      0.017s      0.597w     18 calls
PK computes JK                      :      7.467u      0.017s      0.595w     18 calls
JK: AO2USO                          :      8.117u      0.033s      0.131w     18 calls
HF: Form F                          :      2.383u      0.000s      0.035w     18 calls
HF: Form D                          :      0.617u      0.000s      0.010w     18 calls
HF: DIIS                            :      3.267u      0.000s      0.052w     17 calls
HF: Form C                          :      1.000u      0.000s      0.011w     17 calls
ccenergy                            :   1695.733u     51.233s     44.117w      1 calls
F build                             :     45.450u      1.167s      3.141w     28 calls
Wmbej build                         :    317.250u     11.583s      9.793w     28 calls
C->Wmbej                            :     10.567u      0.483s      0.354w     28 calls
F->Wmbej                            :     40.150u      2.500s      3.569w     28 calls
E->Wmbej                            :     10.317u      0.850s      1.039w     28 calls
X->Wmbej                            :    255.983u      7.400s      4.460w     28 calls
Z                                   :     96.200u      5.883s      2.081w     28 calls
T2 Build                            :    934.717u     24.433s     20.353w     28 calls
BT2                                 :    109.517u      8.317s      3.827w     28 calls
FT2                                 :     60.683u      1.350s      2.446w     28 calls
WmbejT2                             :    298.533u      9.100s      5.497w     28 calls
CT2                                 :    264.983u      3.567s      5.033w     28 calls
cctriples                           :   6807.517u     36.617s    104.071w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     13.683u      0.767s      2.236w      1 calls
| Libint2ERI::Libint2ERI            :      2.467u      0.683s      1.905w     41 calls
HF: Form core H                     :     42.950u      0.033s      0.676w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.001w      1 calls
HF: Guess                           :      3.883u      1.783s      0.213w      1 calls
| SAD Guess                         :      3.817u      1.783s      0.212w      1 calls
HF: Form G                          :     22.617u      0.100s      0.833w     18 calls
| JK: D                             :      0.067u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      4.817u      0.033s      0.070w     18 calls
| JK: JK                            :      7.517u      0.017s      0.597w     18 calls
| | PK computes JK                  :      7.467u      0.017s      0.595w     18 calls
| JK: AO2USO                        :      8.117u      0.033s      0.131w     18 calls
HF: Form F                          :      2.383u      0.000s      0.035w     18 calls
HF: Form D                          :      0.617u      0.000s      0.010w     18 calls
HF: DIIS                            :      3.267u      0.000s      0.052w     17 calls
HF: Form C                          :      1.000u      0.000s      0.011w     17 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.044w      1 calls
ccenergy                            :   1695.733u     51.233s     44.117w      1 calls
| F build                           :     45.450u      1.167s      3.141w     28 calls
| Wmbej build                       :    317.250u     11.583s      9.793w     28 calls
| | C->Wmbej                        :     10.567u      0.483s      0.354w     28 calls
| | F->Wmbej                        :     40.150u      2.500s      3.569w     28 calls
| | E->Wmbej                        :     10.317u      0.850s      1.039w     28 calls
| | X->Wmbej                        :    255.983u      7.400s      4.460w     28 calls
| Z                                 :     96.200u      5.883s      2.081w     28 calls
| T2 Build                          :    934.717u     24.433s     20.353w     28 calls
| | BT2                             :    109.517u      8.317s      3.827w     28 calls
| | FT2                             :     60.683u      1.350s      2.446w     28 calls
| | WmbejT2                         :    298.533u      9.100s      5.497w     28 calls
| | CT2                             :    264.983u      3.567s      5.033w     28 calls
cctriples                           :   6807.517u     36.617s    104.071w      1 calls

**************************************************************************************
