
Host: nh042

Timers On : Fri Jun  6 00:12:29 2025
Timers Off: Fri Jun  6 00:38:50 2025

Wall Time:     1581.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :   1006.717u     12.117s     44.374w      1 calls
Libint2ERI::Libint2ERI              :     25.100u      0.850s     16.010w     42 calls
HF: Form core H                     :      7.933u      0.233s      0.134w      1 calls
HF: Form S/X                        :      0.617u      0.000s      0.010w      1 calls
HF: Guess                           :      7.500u      1.350s      0.384w      1 calls
SAD Guess                           :      7.483u      1.350s      0.378w      1 calls
HF: Form G                          :    161.067u      9.750s     96.600w     14 calls
JK: D                               :      0.017u      0.000s      0.002w     14 calls
JK: USO2AO                          :      1.783u      0.083s      0.020w     14 calls
JK: JK                              :    155.767u      9.400s     96.512w     14 calls
PK computes JK                      :    155.683u      9.400s     96.508w     14 calls
JK: AO2USO                          :      3.283u      0.250s      0.061w     14 calls
HF: Form F                          :      0.000u      0.000s      0.002w     14 calls
HF: Form D                          :      0.033u      0.000s      0.001w     14 calls
HF: DIIS                            :      6.850u      0.083s      0.521w     13 calls
HF: Form C                          :      8.033u      0.000s      0.122w     13 calls
ccenergy                            :   6296.217u   2424.233s    656.969w      1 calls
F build                             :    375.550u     10.717s     47.958w     14 calls
Wmbej build                         :    738.167u    148.633s    110.805w     14 calls
C->Wmbej                            :     27.350u      7.550s      6.605w     14 calls
F->Wmbej                            :     39.383u     37.800s     46.451w     14 calls
E->Wmbej                            :     21.933u     23.250s     28.358w     14 calls
X->Wmbej                            :    642.100u     74.867s     21.784w     14 calls
Z                                   :    366.150u     75.333s     17.373w     14 calls
T2 Build                            :   3142.133u   2079.533s    342.091w     14 calls
BT2                                 :    994.217u    190.033s     93.207w     14 calls
ABCD:new                            :   1877.167u    351.067s    170.710w     26 calls
ABCD:S                              :    894.333u    160.467s     54.457w     26 calls
ABCD:A                              :    886.217u    159.900s     54.988w     26 calls
ABCD:axpy                           :     55.317u     13.050s     41.271w     26 calls
FT2                                 :    654.200u    113.850s     17.948w     14 calls
WmbejT2                             :    548.983u    216.517s     47.008w     14 calls
CT2                                 :    580.133u   1114.767s    102.832w     14 calls
cchbar                              :   1739.383u    203.150s     82.890w      1 calls
cclambda                            :   4911.367u   1554.550s    365.459w      1 calls
ccdensity                           :     76.167u      6.033s     14.600w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :   1006.717u     12.117s     44.374w      1 calls
| Libint2ERI::Libint2ERI            :     24.517u      0.833s     15.659w     41 calls
HF: Form core H                     :      7.933u      0.233s      0.134w      1 calls
HF: Form S/X                        :      0.617u      0.000s      0.010w      1 calls
HF: Guess                           :      7.500u      1.350s      0.384w      1 calls
| SAD Guess                         :      7.483u      1.350s      0.378w      1 calls
HF: Form G                          :    161.067u      9.750s     96.600w     14 calls
| JK: D                             :      0.017u      0.000s      0.002w     14 calls
| JK: USO2AO                        :      1.783u      0.083s      0.020w     14 calls
| JK: JK                            :    155.767u      9.400s     96.512w     14 calls
| | PK computes JK                  :    155.683u      9.400s     96.508w     14 calls
| JK: AO2USO                        :      3.283u      0.250s      0.061w     14 calls
HF: Form F                          :      0.000u      0.000s      0.002w     14 calls
HF: Form D                          :      0.033u      0.000s      0.001w     14 calls
HF: DIIS                            :      6.850u      0.083s      0.521w     13 calls
HF: Form C                          :      8.033u      0.000s      0.122w     13 calls
Libint2ERI::Libint2ERI              :      0.583u      0.017s      0.351w      1 calls
ccenergy                            :   6296.217u   2424.233s    656.969w      1 calls
| F build                           :    375.550u     10.717s     47.958w     14 calls
| Wmbej build                       :    738.167u    148.633s    110.805w     14 calls
| | C->Wmbej                        :     27.350u      7.550s      6.605w     14 calls
| | F->Wmbej                        :     39.383u     37.800s     46.451w     14 calls
| | E->Wmbej                        :     21.933u     23.250s     28.358w     14 calls
| | X->Wmbej                        :    642.100u     74.867s     21.784w     14 calls
| Z                                 :    366.150u     75.333s     17.373w     14 calls
| T2 Build                          :   3142.133u   2079.533s    342.091w     14 calls
| | BT2                             :    994.217u    190.033s     93.207w     14 calls
| | | ABCD:new                      :    994.150u    190.033s     93.206w     14 calls
| | | | ABCD:S                      :    470.750u     89.300s     29.617w     14 calls
| | | | ABCD:A                      :    471.067u     83.517s     29.873w     14 calls
| | | | ABCD:axpy                   :     30.200u      7.517s     22.779w     14 calls
| | FT2                             :    654.200u    113.850s     17.948w     14 calls
| | WmbejT2                         :    548.983u    216.517s     47.008w     14 calls
| | CT2                             :    580.133u   1114.767s    102.832w     14 calls
cchbar                              :   1739.383u    203.150s     82.890w      1 calls
cclambda                            :   4911.367u   1554.550s    365.459w      1 calls
| ABCD:new                          :    883.017u    161.033s     77.504w     12 calls
| | ABCD:S                          :    423.583u     71.167s     24.839w     12 calls
| | ABCD:A                          :    415.150u     76.383s     25.115w     12 calls
| | ABCD:axpy                       :     25.117u      5.533s     18.492w     12 calls
ccdensity                           :     76.167u      6.033s     14.600w      1 calls

**************************************************************************************
